Common Name,Scientific Name,Medicinal Properties,Known Hazards,Summary,user_need_tags,effect_tags,preparation_type,warning_level,recommendation_reason
"Saskatoon, Saskatoon serviceberry, Serviceberry",Amelanchier alnifolia - (Nutt.)Nutt. ex M.Roem.,Appetizer; Birthing aid; Contraceptive; Diaphoretic; Febrifuge; Laxative; Ophthalmic; Stomachic,None known,"The Amelanchier genus consists of small deciduous trees or large shrubs with small blackcurrant-sized fruit. Several species are excellent to eat raw, tasting like a blueberry with a hint of almond or apple flavour from the seeds. The fruit ripens in mid-summer and is soft and juicy with a few small seeds in the centre. The fruit is cooked and used in pies and jams or dried and used as raisins. Bloom Color: White. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Upright or erect.","circulation,digestion","appetizer, birthing aid, contraceptive, diaphoretic, febrifuge, laxative, ophthalmic, stomachic", , , 
Lead Plant,Amorpha canescens - Pursh.,Anthelmintic; Eczema; Miscellany; Salve; Skin; Stomachic,None known,,digestion,"anthelmintic, eczema, miscellany, salve, skin, stomachic", , , 
"Elephant Yam, Whitespot giant arum",Amorphophallus paeoniifolius - (Dennst.)Nicolson.,Carminative; Dysentery; Expectorant; Restorative; Stomachic; Tonic,"Although no specific mention has been seen for this species, it belongs to a family where most of the members contain calcium oxalate crystals. This substance is toxic fresh and, if eaten, makes the mouth, tongue and throat feel as if hundreds of small needles are digging in to them. However, calcium oxalate is easily broken down either by thoroughly cooking the plant or by fully drying it and, in either of these states, it is safe to eat the plant. People with a tendency to rheumatism, arthritis, gout, kidney stones and hyperacidity should take especial caution if including this plant in their diet[238].",,"digestion,energy,focus,respiratory_support","carminative, dysentery, expectorant, restorative, stomachic, tonic", , , 
Yerba Mansa,Anemopsis californica - (Nutt.)Hook.&Arn.,Analgesic; Antiperiodic; Antiphlogistic; Antiseptic; Astringent; Blood purifier; Diuretic; Stomachic; TB; VD; Vulnerary; Women's complaints,None known,,"digestion,edema,immune_support,inflammatory,pain,skin","analgesic, antiperiodic, antiphlogistic, antiseptic, astringent, blood purifier, diuretic, stomachic, tb, vd, vulnerary, women's complaints", , , 
Dill,Anethum graveolens - L.,Antihalitosis; Aromatic; Carminative; Diuretic; Galactogogue; Stimulant; Stomachic,Dill is said to contain the alleged 'psychotroph' myristicine[218]. There are also reports that dill can cause photosensitivity and or dermatitis in some people[218]. Avoid dill oil during pregnancy.,"Bloom Color: Yellow. Main Bloom Time: Early summer, Late summer, Mid summer. Form: Upright or erect.","digestion,edema,energy,focus","antihalitosis, aromatic, carminative, diuretic, galactogogue, stimulant, stomachic", , , 
"Angelica, Norwegian angelica",Angelica archangelica - L.,Antispasmodic; Appetizer; Carminative; Diaphoretic; Diuretic; Expectorant; Stimulant; Stomachic; Tonic; Urinary,"All members of this genus contain furocoumarins, which increase skin sensitivity to sunlight and may cause dermatitis[238].",,"circulation,digestion,edema,energy,focus,respiratory_support","antispasmodic, appetizer, carminative, diaphoretic, diuretic, expectorant, stimulant, stomachic, tonic, urinary", , , 
Purplestem Angelica,Angelica atropurpurea - L.,Carminative; Diaphoretic; Emmenagogue; Sedative; Stomachic; Tonic,"All members of this genus contain furocoumarins, which increase skin sensitivity to sunlight and may cause dermatitis[238].",,"anxiety,circulation,digestion,energy,focus,relaxation,sleep,stress","carminative, diaphoretic, emmenagogue, sedative, stomachic, tonic", , , 
"Wild Angelica,Woodland angelica",Angelica sylvestris - L.,Antispasmodic; Carminative; Diaphoretic; Diuretic; Expectorant; Parasiticide; Stimulant; Stomachic; Tonic,"All members of this genus contain furocoumarins, which increase skin sensitivity to sunlight and may cause dermatitis[238].",,"circulation,digestion,edema,energy,focus,respiratory_support","antispasmodic, carminative, diaphoretic, diuretic, expectorant, parasiticide, stimulant, stomachic, tonic", , , 
Udo,Aralia cordata - Thunb.,Analgesic; Antiinflammatory; Carminative; Diuretic; Febrifuge; Stimulant; Stomachic; Tonic,None known,,"digestion,edema,energy,focus,inflammatory,pain","analgesic, antiinflammatory, carminative, diuretic, febrifuge, stimulant, stomachic, tonic", , , 
"Madrona, Pacific madrone, Pacific Madrone",Arbutus menziesii - Pursh.,Astringent; Miscellany; Stomachic; Vulnerary,None known,"Bloom Color: White. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Upright or erect.","digestion,skin","astringent, miscellany, stomachic, vulnerary", , , 
"Great Burdock, Gobo",Arctium lappa - L.,Alterative; Antibacterial; Antifungal; Antiphlogistic; Antipsoriatic; Aperient; Blood purifier; Carminative; Cholagogue; Depurative; Diaphoretic; Diuretic; Eczema; Hypoglycaemic; Stomachic,Care should be taken if harvesting the seed in any quantity since tiny hairs from the seeds can be inhaled and these are toxic[205]. Can cause allergic reactions. Contraindicated during pregnancy [301].,,"circulation,digestion,edema,immune_support,inflammatory","alterative, antibacterial, antifungal, antiphlogistic, antipsoriatic, aperient, blood purifier, carminative, cholagogue, depurative, diaphoretic, diuretic, eczema, hypoglycaemic, stomachic", , , 
"Manzanita, Whiteleaf manzanita, Konocti manzanita, Contra Costa manzanita, Roof's manzanita, Wieslan",Arctostaphylos manzanita - Parry.,Appetizer; Astringent; Poultice; Stomachic,None known,,"digestion,skin","appetizer, astringent, poultice, stomachic", , , 
"Downy Manzanita, Woollyleaf manzanita, Brittleleaf manzanita, Dacite manzanita, Rosy manzanita, San",Arctostaphylos tomentosa - (Pursh.)Lindl.,Antiseptic; Appetizer; Astringent; Diuretic; Stomachic; Urinary,None known,,"digestion,edema,immune_support","antiseptic, appetizer, astringent, diuretic, stomachic, urinary", , , 
Tian Nan Xing,Arisaema consanguineum - Schott.,Anodyne; Antibacterial; Anticoagulant; Antifungal; Antiinflammatory; Antiphlogistic; Antirheumatic; Antispasmodic; Antitumor; Epilepsy; Expectorant; Sedative; Stomachic,The plant contains calcium oxylate crystals. These cause an extremely unpleasant sensation similar to needles being stuck into the mouth and tongue if they are eaten but they are easily neutralized by thoroughly drying or cooking the plant or by steeping it in water.,,"anxiety,digestion,immune_support,inflammatory,pain,relaxation,respiratory_support,sleep,stress","anodyne, antibacterial, anticoagulant, antifungal, antiinflammatory, antiphlogistic, antirheumatic, antispasmodic, antitumor, epilepsy, expectorant, sedative, stomachic", , , 
Ma Dou Ling,Aristolochia debilis - Siebold.&Zucc.,Alterative; Anodyne; Antibacterial; Antifungal; Antiinflammatory; Antitussive; Carminative; Cytotoxic; Diuretic; Expectorant; Hypotensive; Stomachic; Tonic,"We have no specific details for this species but most members of this genus have poisonous roots and stems[179]. The plant contains aristolochic acid, this has received rather mixed reports on its toxicity. According to one report aristolochic acid stimulates white blood cell activity and speeds the healing of wounds, but is also carcinogenic and damaging to the kidneys[254]. Another report says that it is an active antitumour agent but is too toxic for clinical use[218]. Another report says that aristolochic acid has anti-cancer properties and can be used in conjunction with chemotherapy and radiotherapy and that it also increases the cellular immunity and phagocytosis function of the phagocytic cells[176].",,"digestion,edema,energy,focus,heart_support,immune_support,inflammatory,pain,respiratory_support","alterative, anodyne, antibacterial, antifungal, antiinflammatory, antitussive, carminative, cytotoxic, diuretic, expectorant, hypotensive, stomachic, tonic", , , 
Texas Dutchman's Pipe,Aristolochia reticulata - Nutt.,Aromatic; Bitter; Diaphoretic; Stimulant; Stomachic,"We have no specific details for this species but most members of this genus have poisonous roots and stems[179]. The plant contains aristolochic acid, this has received rather mixed reports on its toxicity. According to one report aristolochic acid stimulates white blood cell activity and speeds the healing of wounds, but is also carcinogenic and damaging to the kidneys[254]. Another report says that it is an active antitumour agent but is too toxic for clinical use[218], causing gastric irritation and, in large doses, respiratry failure[274]. Another report says that aristolochic acid has anti-cancer properties and can be used in conjunction with chemotherapy and radiotherapy and that it also increases the cellular immunity and phagocytosis function of the phagocytic cells[176].",,"circulation,digestion,energy,focus","aromatic, bitter, diaphoretic, stimulant, stomachic", , , 
